0, 468,
1000, 468,
2000, 464,
3001, 457,
4001, 449,
5002, 444,
6002, 435,
7003, 430,
8003, 423,
9004, 413,
10004, 406,
11004, 402,
12005, 397,
13005, 396,
14006, 396,
15006, 390,
16007, 381,
17007, 373,
18009, 366,
19009, 358,
20009, 356,
21010, 354,
22010, 352,
23011, 353,
24011, 353,
25012, 350,
26012, 350,
27013, 348,
28013, 345,
29014, 345,
30014, 343,
31015, 342,
32016, 341,
33016, 341,
34017, 340,
35017, 339,
36018, 338,
37018, 336,
38019, 335,
39019, 332,
40019, 331,
41020, 330,
42020, 328,
43022, 325,
44022, 320,
45023, 316,
46023, 314,
47024, 308,
48024, 306,
49025, 303,
50025, 303,
51025, 304,
52026, 306,
53026, 306,
54027, 305,
55028, 305,
56029, 301,
57029, 300,
58030, 300,
59030, 298,
60030, 297,
61031, 297,
62031, 294,
63032, 293,
64032, 292,
65033, 287,
66033, 285,
67034, 283,
68035, 281,
69036, 279,
70036, 277,
71036, 277,
72037, 279,
73037, 279,
74038, 279,
75038, 279,
76039, 278,
77039, 277,
78040, 277,
79040, 277,
80041, 275,
81042, 272,
82042, 273,
83043, 272,
84043, 272,
85044, 270,
86044, 270,
87045, 270,
88045, 270,
89046, 267,
90046, 264,
91046, 263,
92048, 261,
93048, 260,
94049, 259,
95049, 258,
96050, 256,
97050, 256,
98051, 254,
99051, 254,
100051, 253,
101052, 251,
102052, 248,
103054, 245,
104054, 243,
105055, 241,
106055, 239,
107056, 239,
108056, 240,
109057, 240,
110057, 240,
111058, 240,
112059, 240,
113059, 241,
114060, 240,
115060, 238,
116061, 237,
117061, 237,
118062, 236,
119063, 236,
120064, 236,
121064, 235,
122064, 234,
123065, 232,
124065, 231,
125066, 230,
126066, 229,
127068, 228,
128068, 227,
129069, 226,
130069, 226,
131069, 225,
132070, 225,
133070, 224,
134072, 223,
135072, 221,
136073, 218,
137073, 216,
138074, 216,
139074, 216,
140075, 214,
141075, 212,
142076, 212,
143077, 211,
144077, 211,
145078, 209,
146078, 208,
147079, 208,
148079, 206,
149080, 205,
150081, 204,
151081, 203,
152082, 204,
153082, 204,
154083, 203,
155083, 201,
156084, 200,
157084, 200,
158086, 200,
159086, 200,
160087, 197,
161087, 195,
162087, 195,
163088, 193,
164088, 192,
165089, 192,
166090, 192,
167091, 191,
168091, 191,
169092, 189,
170092, 187,
171092, 186,
172093, 185,
